Name;CollectionID;OffsetDay;OffsetWeek;StartOffset
Tst2200;P010010C;1;1;22
Tst0204;P010010B;1;1;2
3rdWed0002;P0100015;1;2;0
3rdWed0204;P0100018;1;2;2
3rdWed0406;P0100019;1;2;4
3rdWed0608;P0100014;1;2;6
3rdWed1012;P010001B;1;2;10
3rdWed2022;P010001A;1;2;20
3rdSat0204;P010010A;4;2;2
3rdSun0810;P0100016;5;2;7
3rdSun2224;P0100017;5;2;22
4thWed0002;P0100013;1;3;0
4thWed2200;P0100012;1;3;22
